RO_NO   BPR_TPN     BOOK_STOCK_QTY
  5014.    4291506.         285.00
  5014.    4293347.           0.00
  5014.    4293363.         144.00
  5014.    4293371.          90.00
  5014.    4293428.           0.00
  5014.    4293487.           0.00
  5014.    4293509.           0.00
  5014.    4293568.          20.00
  5014.    4293908.           4.00
  5014.    4294033.           4.00
  5014.    4294076.           2.00
  5014.    4295951.         140.00
  5014.    4297490.           0.00
  5014.    4301765.           0.00
  5014.    4301781.          12.00
  5014.    4301803.          11.00
  5014.    4301811.          28.00
  5014.    4301838.           7.00
  5014.    4301927.           3.00
  5014.    4301935.           0.00
  5014.    4302109.           1.00
  5014.    4302141.          70.00
  5014.    4302168.          30.00
  5014.    4302176.          58.00
  5014.    4302184.          44.00
  5014.    4302397.          23.00
  5014.    4303911.           1.00
  5014.    4304063.           5.00
  5014.    4304209.           9.00
  5014.    4304802.           7.00
  5014.    4304810.           8.00
  5014.    4304829.           2.00
  5014.    4304845.           7.00
  5014.    4304896.          32.00
  5014.    4305159.           0.00
  5014.    4305175.           8.00
  5014.    4305248.           6.00
  5014.    4305566.           4.00
  5014.    4305574.          11.00
  5014.    4305639.           6.00
  5014.    4305698.          35.00
  5014.    4305809.           7.00
  5014.    4306007.          64.00
  5014.    4306015.           0.00
  5014.    4306058.          10.00
  5014.    4306082.           7.00
  5014.    4306090.          25.00
  5014.    4306112.           7.00
  5014.    4306120.          12.00
  5014.    4306406.           0.00
  5014.    4307100.           4.00
  5014.    4307135.          10.00
  5014.    4307143.          10.00
  5014.    4307151.          10.00
  5014.    4307178.           4.00
  5014.    4307305.          11.00
  5014.    4308530.          11.00
  5014.    4308549.          13.00
  5014.    4308565.           0.00
  5014.    4308573.           0.00
  5014.    4308581.           0.00
  5014.    4312023.           4.00
  5014.    4312074.           0.00
  5014.    4312139.          10.00
  5014.    4312163.           0.00
  5014.    4312244.           0.00
  5014.    4312252.           0.00
  5014.    4312287.           0.00
  5014.    4312295.           0.00
  5014.    4312309.           0.00
  5014.    4312317.           0.00
  5014.    4312503.          22.00
  5014.    4312511.          10.00
  5014.    4312864.          32.00
  5014.    4312899.           8.00
  5014.    4312902.           0.00
  5014.    4312937.          50.00
  5014.    4312945.          32.00
  5014.    4313216.           9.00
  5014.    4313348.           0.00
  5014.    4313453.           0.00
  5014.    4313682.           6.00
  5014.    4313690.           2.00
  5014.    4313712.           6.00
  5014.    4314719.          17.00
  5014.    4315782.          29.00
  5014.    4315804.          79.00
  5014.    4317556.           0.00
  5014.    4317564.           0.00
  5014.    4317815.           6.00
  5014.    4317823.           8.00
  5014.    4317912.           8.00
  5014.    4319966.           7.00
  5014.    4319982.           4.00
  5014.    4320018.           8.00
  5014.    4320026.          30.00
  5014.    4320174.          29.00
  5014.    4320239.           9.00
  5014.    4320492.          10.00
  5014.    4320514.           5.00
  5014.    4320921.          19.00
  5014.    4321030.           0.00
  5014.    4321782.         114.00
  5014.    4322118.           0.00
  5014.    4322177.          24.00
  5014.    4322185.          19.00
  5014.    4322193.           0.00
  5014.    4322312.          14.00
  5014.    4322320.           0.00
  5014.    4322460.           0.00
  5014.    4322681.          23.00
  5014.    4322835.          33.00
  5014.    4322843.          20.00
  5014.    4322940.          21.00
  5014.    4323408.           0.00
  5014.    4324102.           0.00
  5014.    4324110.           0.00
  5014.    4324129.           0.00
  5014.    4324137.           0.00
  5014.    4324145.           0.00
  5014.    4324153.           0.00
  5014.    4324161.           0.00
  5014.    4324188.           0.00
  5014.    4324196.           0.00
  5014.    4324218.           0.00
  5014.    4324234.          32.00
  5014.    4324595.          24.00
  5014.    4324625.           0.00
  5014.    4324692.           5.00
  5014.    4324765.           5.00
  5014.    4324803.          16.00
  5014.    4324811.          14.00
  5014.    4324838.          11.00
  5014.    4324889.           5.00
  5014.    4325850.           2.00
  5014.    4327330.          13.00
  5014.    4327365.           1.00
  5014.    4327594.          50.00
  5014.    4327683.           8.00
  5014.    4327748.           0.00
  5014.    4327772.           1.00
  5014.    4327799.          36.00
  5014.    4327829.          26.00
  5014.    4327888.          18.00
  5014.    4327985.          48.00
  5014.    4328000.          39.00
  5014.    4328035.          39.00
  5014.    4328051.          26.00
  5014.    4328086.          23.00
  5014.    4328159.           0.00
  5014.    4328418.           9.00
  5014.    4328442.           8.00
  5014.    4328469.          28.00
  5014.    4328809.          81.00
  5014.    4328922.          18.00
  5014.    4329341.          12.00
  5014.    4329376.           6.00
  5014.    4329384.           8.00
  5014.    4329392.          13.00
  5014.    4329414.          20.00
  5014.    4329422.           9.00
  5014.    4329732.          18.00
  5014.    4329910.           6.00
  5014.    4329929.          12.00
  5014.    4329937.           1.00
  5014.    4329945.           3.00
  5014.    4329953.           3.00
  5014.    4329961.           0.00
  5014.    4329996.          21.00
  5014.    4330013.           4.00
  5014.    4330021.           4.00
  5014.    4330048.           4.00
  5014.    4330056.           3.00
  5014.    4330064.           0.00
  5014.    4330072.           8.00
  5014.    4330102.           4.00
  5014.    4330110.           3.00
  5014.    4330129.           7.00
  5014.    4330137.           0.00
  5014.    4330145.           5.00
  5014.    4330188.          10.00
  5014.    4330196.           4.00
  5014.    4330218.           6.00
  5014.    4330226.           0.00
  5014.    4330242.           4.00
  5014.    4330250.           6.00
  5014.    4330269.           4.00
  5014.    4330277.           2.00
  5014.    4330285.           0.00
  5014.    4330293.           5.00
  5014.    4330323.           7.00
  5014.    4330331.           7.00
  5014.    4330358.           4.00
  5014.    4330366.           0.00
  5014.    4330471.          36.00
  5014.    4330714.           0.00
  5014.    4332288.          12.00
  5014.    4332555.          20.00
  5014.    4332601.          12.00
  5014.    4332997.           5.00
  5014.    4333055.           5.00
  5014.    4333128.           3.00
  5014.    4333209.           0.00
  5014.    4333217.           0.00
  5014.    4333225.           0.00
